"","day","con","rep","hc","co2","co","car","dev"
"153",9,"2",2,5.08,14.68,0.01,"Bentley",1
"154",9,"2",3,4.46,14.69,0.02,"Bentley",1
"155",9,"3",1,2.08,14.77,0.02,"Bentley",1
"156",9,"3",2,1.36,14.9,0.02,"Bentley",1
"157",9,"3",3,0.08,15.04,0.02,"Bentley",1
"158",9,"4",1,7,15.08,0.11,"Bentley",1
"159",9,"4",2,4.08,15.05,0.09,"Bentley",1
"160",9,"4",3,2.69,15.06,0.08,"Bentley",1
"161",10,"1",1,2.77,15.6,0.07,"Bentley",1
"162",10,"1",2,0,15.55,0.02,"Bentley",1
"163",10,"1",3,6.15,15,0.06,"Bentley",1
"164",10,"2",1,0.92,14.94,0.02,"Bentley",1
"165",10,"2",2,0.38,14.98,0.02,"Bentley",1
"166",10,"2",3,0.62,14.99,0.03,"Bentley",1
"167",10,"3",1,4,15.14,0.06,"Bentley",1
"168",10,"3",2,3.15,15.31,0.03,"Bentley",1
"169",10,"3",3,1.62,15.43,0.02,"Bentley",1
"170",10,"4",1,3.46,15.45,0.07,"Bentley",1
"171",10,"4",2,4.62,15.52,0.07,"Bentley",1
"172",10,"4",3,4.31,15.52,0.09,"Bentley",1
"173",11,"1",1,3.23,14.16,0.02,"Bentley",1
"174",11,"1",2,3.83,14.23,0.05,"Bentley",1
"175",11,"1",3,NA,NA,NA,"Bentley",1
"176",11,"2",1,5.31,14.21,0.04,"Bentley",1
"177",11,"2",2,10.23,14.18,0.02,"Bentley",1
"178",11,"2",3,3,14.29,0.03,"Bentley",1
"179",11,"3",1,0.46,14.54,0.07,"Bentley",1
"180",11,"3",2,5,14.31,0.08,"Bentley",1
"181",11,"3",3,2.15,14.43,0.04,"Bentley",1
"182",11,"4",1,3.54,14.47,0.07,"Bentley",1
"183",11,"4",2,3.08,14.57,0.1,"Bentley",1
"184",11,"4",3,2.92,14.58,0.09,"Bentley",1
"185",12,"1",1,3.15,14.18,0.03,"Bentley",1
"186",12,"1",2,1.38,14.18,0.03,"Bentley",1
